Unnamed: 0,Satisfacción - Escala en 10 puntos (%),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,IDAT,,Tiempo de espera hasta ser atendido,"Tiempo de espera hasta ser atendido, es decir, el tiempo en filas o esperando en un teléfono u otro canal de atención ofrecido por la distribuidora",6.24,3.2,4.32,7.68,9.28,11.2,16,18.72,10.24,7.52,5.6,100,625,6.345762711864,55.593220338983
,,IDAT,,Duración de la atención,El tiempo que dura la atención - agilidad de los empleados en el momento de la atención al cliente,3.04,1.28,1.92,4.32,8.16,10.4,19.68,21.12,13.92,11.52,4.64,100,625,7.120805369128,69.463087248322
,,IDAT,,Conocimiento sobre el tema,Conocimiento que los empleados tienen sobre el tema,2.24,0.96,1.28,3.36,6.72,8.8,18.08,22.56,15.04,12.64,8.32,100,625,7.380453752182,74.520069808028
,,IDAT,,Claridad en la información,Facilidad de comprensión de las informaciones dadas por las personas que atienden (Claridad de la información brindada por el personal que atiende),2.08,0.96,1.6,3.84,8.16,9.12,18.72,22.24,13.92,15.04,4.32,100,625,7.361204013378,73.076923076923
,,IDAT,,Calidad de la atención,"Calidad de la atención, en cuanto a la cortesía, respeto y amabilidad con el cliente",2.88,1.28,1.92,3.04,4.96,7.36,15.52,24.32,15.52,19.04,4.16,100,625,7.570951585977,77.62938230384
,,IDAT,,Plazo informado,Plazo para la resolución del problema reportado o realización de los servicios solicitados,3.2,1.12,1.44,3.2,10.24,11.84,16.8,22.72,11.04,10.88,7.52,100,625,7.053633217993,66.43598615917
,,IDAT,,Solución definitiva del problema,Solución definitiva del problema reportado (no necesita hacer el pedido otra vez),4.8,1.76,1.92,4.64,8.48,7.84,16.32,22.08,12.96,13.28,5.92,100,625,7.040816326531,68.707482993197
,,IDAT,,Cumplimiento del plazo,Cumplimiento de los plazos informados para resolver las solicitudes de los clientes,4.48,1.44,1.6,3.68,8.32,8.8,17.76,21.6,12.32,11.84,8.16,100,625,7.052264808362,69.163763066202
,,IDAT,,Autonomía/ flexibilidad del empleado(2),"Habilidad (autonomía, flexibilidad) del empleado (persona que atiende) para dar respuesta al cliente/ usuario(2)",3.36,0.96,1.92,4.16,7.04,10.08,17.92,21.76,13.92,13.6,5.28,100,625,7.222972972973,70.945945945946
,IM,IDAR,,Imagen,Imagen,4.26,2.46,3.28,4.9,9.5,11.6,15.52,17.14,10.3,12.24,8.8,100,5000,6.760745614035,60.526315789474
,,IDAT,,Respeta los derechos de los clientes,Empresa que respeta los derechos de los clientes,4.96,2.4,3.04,5.12,9.76,12.8,17.28,16.64,10.88,12,5.12,100,625,6.713322091062,59.865092748735
,,IDAT,,Correcta con los clientes,"Empresa correcta con sus clientes, que si comete errores los corregirá - Empresa justa",4.32,1.76,3.36,4.32,9.28,14.08,17.76,15.84,10.88,11.84,6.56,100,625,6.779109589041,60.27397260274
